Starting training for ResNet18_fine_tune
Epoch 1/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Epoch 2/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Epoch 3/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Epoch 4/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Epoch 5/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Epoch 6/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Epoch 7/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Epoch 8/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Epoch 9/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Epoch 10/10 - Train Loss: 0.0835, Train Acc: 0.9868, Val Loss: 0.6635, Val Acc: 0.8580
Training completed. Best Val Acc: 0.8580183861082737
