Starting training for resnet18_custom
Epoch 1/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 2/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 3/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 4/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 5/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 6/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 7/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 8/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 9/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 10/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 11/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 12/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 13/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 14/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Epoch 15/15 - Train Loss: 0.1563, Train Acc: 0.9535, Val Loss: 0.6807, Val Acc: 0.8238
Training completed. Best Val Acc: 0.8283963227783453
